,チーム,シーズン,相手,スコア,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P
0,G大阪,2019,横浜FM,2-3,56,47,7.5%,10,20.0%,42.8%,11.40,9.75,78.24,14.30
1,G大阪,2019,清水,4-2,59,43,16.4%,20,20.0%,61.3%,27.60,23.47,89.12,12.22
2,G大阪,2019,名古屋,2-3,54,37,8.1%,10,10.0%,50.3%,16.98,14.72,99.23,14.61
3,G大阪,2019,川崎Ｆ,1-0,48,32,7.4%,9,11.1%,45.9%,12.99,11.17,98.37,17.45
4,G大阪,2019,神戸,3-4,68,45,17.1%,20,15.0%,46.7%,23.63,17.77,71.60,13.21
5,G大阪,2019,広島,0-3,49,42,8.5%,10,0.0%,65.6%,23.63,21.59,94.74,11.22
6,G大阪,2019,浦和,0-1,51,47,10.9%,13,0.0%,55.5%,15.75,12.64,76.35,13.49
7,G大阪,2019,大分,1-1,57,83,21.7%,20,5.0%,41.0%,17.37,15.45,56.91,9.38
8,G大阪,2019,仙台,1-2,60,42,7.6%,10,10.0%,49.5%,18.27,12.35,74.23,17.38
9,G大阪,2019,FC東京,0-0,55,44,15.9%,18,0.0%,62.6%,18.30,14.86,74.61,12.10
10,G大阪,2019,鳥栖,1-3,44,45,5.0%,6,16.7%,52.1%,13.26,11.07,65.71,10.80
11,G大阪,2019,Ｃ大阪,1-0,48,42,9.2%,11,9.1%,51.0%,15.38,12.69,111.50,17.35
12,G大阪,2019,札幌,0-0,37,38,6.9%,7,0.0%,47.2%,13.95,12.54,77.23,15.40
13,G大阪,2019,鹿島,1-1,46,36,7.5%,8,12.5%,53.5%,17.60,14.20,88.20,12.79
14,G大阪,2019,磐田,0-0,46,33,12.4%,15,0.0%,55.2%,19.61,13.55,81.59,15.16
15,G大阪,2019,湘南,1-0,54,42,16.2%,18,5.6%,66.4%,24.31,20.68,69.18,10.78
16,G大阪,2019,松本,3-1,41,44,13.3%,17,17.6%,62.4%,18.53,14.97,70.18,12.64
17,G大阪,2019,FC東京,1-3,73,40,9.5%,11,9.1%,55.7%,26.34,18.95,81.31,15.12
18,G大阪,2019,清水,1-0,57,48,19.3%,21,4.8%,57.5%,25.06,17.40,87.98,15.92
19,G大阪,2019,名古屋,2-2,45,47,10.7%,9,22.2%,52.9%,20.32,18.02,63.23,11.75
20,G大阪,2019,神戸,2-2,51,38,12.6%,14,14.3%,42.8%,15.77,11.00,67.37,18.22
21,G大阪,2019,広島,1-1,55,55,19.8%,20,5.0%,60.8%,24.85,20.94,87.73,11.81
22,G大阪,2019,磐田,1-1,68,49,15.2%,16,6.3%,63.1%,31.72,24.26,78.17,13.37
23,G大阪,2019,鹿島,2-2,46,43,12.4%,11,18.2%,48.4%,12.90,11.36,64.65,13.73
24,G大阪,2019,横浜FM,1-3,51,45,8.5%,9,11.1%,35.0%,11.11,8.04,87.87,17.06
25,G大阪,2019,鳥栖,1-0,42,45,10.6%,13,7.7%,56.4%,17.12,14.67,86.89,15.28
26,G大阪,2019,Ｃ大阪,1-3,66,52,16.8%,19,0.0%,56.8%,22.09,19.96,84.14,6.31
27,G大阪,2019,札幌,5-0,55,49,19.6%,21,23.8%,49.5%,21.30,16.15,84.80,20.67
28,G大阪,2019,川崎Ｆ,2-2,44,47,16.5%,15,13.3%,42.0%,16.01,13.53,101.96,16.40
29,G大阪,2019,湘南,3-0,56,49,17.5%,18,16.7%,50.9%,20.26,17.40,74.63,14.51
30,G大阪,2019,大分,1-2,47,61,17.9%,17,5.9%,56.7%,20.53,17.32,80.17,8.60
31,G大阪,2019,仙台,2-0,68,53,18.2%,20,10.0%,62.4%,33.91,25.86,92.97,11.61
32,G大阪,2019,松本,4-1,52,35,19.5%,23,17.4%,61.4%,26.87,21.91,94.87,16.94
33,G大阪,2019,浦和,3-2,52,49,16.5%,18,16.7%,52.8%,18.61,15.12,88.67,13.34